"","","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)"
"Country","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan"," 2019","63.2","63.3","63.2","15.2","15.4","15.1"
"Afghanistan"," 2015","61.7","61.0","62.3","15.6","15.7","15.5"
"Afghanistan"," 2010","59.9","59.6","60.3","15.1","15.1","15.2"
"Afghanistan"," 2000","55.0","54.6","55.4","13.9","13.6","14.2"
"Albania"," 2019","78.0","76.3","79.9","21.0","20.2","21.9"
"Albania"," 2015","77.8","76.1","79.7","21.1","20.1","22.2"
"Albania"," 2010","76.2","74.2","78.3","21.3","19.9","22.6"
"Albania"," 2000","73.5","70.7","76.9","19.0","17.1","21.2"
"Algeria"," 2019","77.1","76.2","78.1","22.0","21.5","22.6"
"Algeria"," 2015","76.5","75.6","77.5","21.8","21.3","22.3"
"Algeria"," 2010","75.9","75.0","76.8","21.4","20.9","21.9"
"Algeria"," 2000","72.2","70.9","73.5","19.8","19.4","20.3"
"Angola"," 2019","63.1","60.7","65.5","17.0","15.4","18.6"
"Angola"," 2015","61.7","59.1","64.5","16.7","15.0","18.4"
"Angola"," 2010","58.1","55.8","60.5","16.0","14.4","17.5"
"Angola"," 2000","49.3","46.8","52.1","14.4","12.8","16.0"
"Antigua and Barbuda"," 2019","76.5","74.9","78.0","20.6","19.8","21.3"
"Antigua and Barbuda"," 2015","76.1","74.4","77.8","20.4","19.6","21.2"
"Antigua and Barbuda"," 2010","75.9","73.6","78.2","20.5","19.1","21.8"
"Antigua and Barbuda"," 2000","74.6","72.0","77.0","20.3","19.1","21.3"
"Argentina"," 2019","76.6","73.5","79.5","21.1","18.8","23.1"
"Argentina"," 2015","76.2","72.9","79.3","21.0","18.6","23.0"
"Argentina"," 2010","75.4","72.1","78.6","20.6","18.3","22.7"
"Argentina"," 2000","74.1","70.3","77.8","20.2","17.6","22.5"
"Armenia"," 2019","76.0","72.5","79.2","20.4","18.2","22.1"
"Armenia"," 2015","74.5","70.9","77.8","19.4","17.3","21.2"
"Armenia"," 2010","73.1","69.4","76.6","18.8","16.8","20.5"
"Armenia"," 2000","71.9","68.6","74.9","18.8","17.1","20.2"
"Australia"," 2019","83.0","81.3","84.8","25.6","24.4","26.8"
"Australia"," 2015","82.3","80.4","84.2","25.0","23.7","26.3"
"Australia"," 2010","81.9","79.8","84.0","24.7","23.3","26.1"
"Australia"," 2000","79.7","77.1","82.2","23.1","21.2","24.9"
"Austria"," 2019","81.6","79.4","83.8","24.1","22.4","25.6"
"Austria"," 2015","81.0","78.6","83.3","23.6","21.8","25.2"
"Austria"," 2010","80.4","77.6","83.0","23.4","21.4","25.2"
"Austria"," 2000","78.2","75.1","81.0","22.0","19.7","23.7"
"Azerbaijan"," 2019","71.4","68.8","74.1","17.1","15.6","18.3"
"Azerbaijan"," 2015","70.7","67.9","73.4","16.6","15.1","17.9"
"Azerbaijan"," 2010","69.0","66.3","71.8","16.4","15.0","17.6"
"Azerbaijan"," 2000","65.5","62.6","68.5","16.6","15.1","17.9"
"Bahamas"," 2019","73.2","69.9","76.6","20.8","19.1","22.4"
"Bahamas"," 2015","72.9","69.7","76.1","20.9","19.3","22.3"
"Bahamas"," 2010","73.0","69.6","76.3","20.7","19.0","22.2"
"Bahamas"," 2000","70.9","67.6","74.2","19.9","18.3","21.4"
"Bahrain"," 2019","75.8","75.0","77.0","19.0","18.7","19.4"
"Bahrain"," 2015","76.5","75.9","77.3","19.7","19.4","20.0"
"Bahrain"," 2010","74.5","73.8","75.3","17.8","17.4","18.3"
"Bahrain"," 2000","70.5","69.5","71.8","15.0","14.5","15.6"
"Bangladesh"," 2019","74.3","73.0","75.6","20.9","20.3","21.5"
"Bangladesh"," 2015","73.6","72.5","74.8","20.9","20.5","21.4"
"Bangladesh"," 2010","70.3","68.6","72.2","19.0","18.1","20.1"
"Bangladesh"," 2000","65.6","64.1","67.4","17.8","17.1","18.7"
"Barbados"," 2019","76.0","74.3","77.7","20.9","19.9","21.8"
"Barbados"," 2015","76.2","75.0","77.4","21.4","21.0","21.7"
"Barbados"," 2010","75.9","74.5","77.2","21.3","20.8","21.7"
"Barbados"," 2000","74.5","72.1","76.7","20.7","19.7","21.5"
"Belarus"," 2019","74.8","69.7","79.6","19.7","16.0","22.5"
"Belarus"," 2015","73.8","68.6","78.8","19.2","15.7","21.9"
"Belarus"," 2010","70.4","64.5","76.4","17.7","14.1","20.5"
"Belarus"," 2000","68.8","63.3","74.6","17.2","14.1","19.4"
"Belgium"," 2019","81.4","79.3","83.5","24.0","22.3","25.6"
"Belgium"," 2015","80.7","78.5","82.9","23.6","21.8","25.2"
"Belgium"," 2010","79.8","77.2","82.4","23.1","21.1","24.9"
"Belgium"," 2000","77.7","74.5","80.7","21.6","19.3","23.7"
"Belize"," 2019","74.4","71.4","77.8","21.5","20.3","22.9"
"Belize"," 2015","74.0","71.1","77.3","21.5","20.4","22.8"
"Belize"," 2010","73.4","70.9","76.1","21.3","20.6","22.2"
"Belize"," 2000","70.3","67.2","74.0","18.7","17.0","20.7"
"Benin"," 2019","63.4","61.2","65.7","17.4","16.1","18.5"
"Benin"," 2015","62.0","59.7","64.2","17.0","15.6","18.2"
"Benin"," 2010","60.5","58.0","62.9","16.7","15.2","18.0"
"Benin"," 2000","56.6","54.3","58.8","16.1","14.5","17.4"
"Bhutan"," 2019","73.1","72.0","74.4","19.4","18.9","19.9"
"Bhutan"," 2015","72.2","71.1","73.5","19.2","18.7","19.7"
"Bhutan"," 2010","71.0","69.9","72.3","18.9","18.4","19.5"
"Bhutan"," 2000","65.7","64.9","66.6","17.9","17.7","18.2"
"Bolivia (Plurinational State of)"," 2019","72.1","71.1","73.1","18.6","18.0","19.1"
"Bolivia (Plurinational State of)"," 2015","71.5","70.6","72.5","18.5","18.1","18.9"
"Bolivia (Plurinational State of)"," 2010","70.3","69.4","71.2","18.5","18.2","18.9"
"Bolivia (Plurinational State of)"," 2000","66.0","64.8","67.2","17.8","17.2","18.4"
"Bosnia and Herzegovina"," 2019","76.8","74.4","79.1","20.2","18.6","21.6"
"Bosnia and Herzegovina"," 2015","76.3","73.9","78.6","19.8","18.3","21.3"
"Bosnia and Herzegovina"," 2010","76.2","73.8","78.5","19.7","18.2","21.0"
"Bosnia and Herzegovina"," 2000","75.4","72.6","78.0","19.6","17.7","21.1"
"Botswana"," 2019","62.2","58.9","65.5","16.2","14.2","18.0"
"Botswana"," 2015","60.9","57.8","63.9","15.9","13.9","17.6"
"Botswana"," 2010","58.1","55.1","61.4","15.3","13.1","17.3"
"Botswana"," 2000","45.6","43.9","47.8","12.9","10.4","15.8"
"Brazil"," 2019","75.9","72.4","79.4","21.9","20.1","23.5"
"Brazil"," 2015","75.1","71.7","78.6","21.4","19.7","23.0"
"Brazil"," 2010","74.1","70.6","77.7","20.8","19.0","22.4"
"Brazil"," 2000","71.5","67.9","75.2","19.7","18.0","21.3"
"Brunei Darussalam"," 2019","74.3","73.4","75.4","19.2","19.0","19.4"
"Brunei Darussalam"," 2015","74.4","73.4","75.5","19.0","18.7","19.4"
"Brunei Darussalam"," 2010","74.6","73.3","75.8","19.0","18.4","19.6"
"Brunei Darussalam"," 2000","72.2","70.9","73.7","16.8","16.2","17.4"
